scene,variant,source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s
gh_001000__brake,brake,transfered,1,1.0000,1.0,1.0,1.0,1.0000,2.90
gh_001000__brake,brake,transfered,2,0.0000,0.0,0.0,0.0,1.0000,1.90
gh_001000__brake,brake,transfered,3,0.0000,1.0,0.0,0.0,1.0000,0.90
gh_001000__brake,brake,transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001000__brake,brake,origin,1,0.7143,1.0,1.0,0.0,1.0000,2.90
gh_001000__brake,brake,origin,2,0.0000,0.0,0.0,0.0,1.0000,1.90
gh_001000__brake,brake,origin,3,0.0000,0.0,0.0,1.0,1.0000,0.90
gh_001000__brake,brake,origin,4,0.0000,0.0,0.0,0.0,1.0000,0.00
gh_001000__none,none,transfered,1,0.0000,0.0,1.0,0.0,0.3963,2.90
gh_001000__none,none,transfered,2,0.4314,1.0,1.0,0.0,0.6040,1.90
gh_001000__none,none,transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001000__none,none,transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001000__none,none,origin,1,0.0000,0.0,1.0,0.0,0.3975,2.90
gh_001000__none,none,origin,2,0.4404,1.0,1.0,0.0,0.6166,1.90
gh_001000__none,none,origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001000__none,none,origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001000__swerve,swerve,transfered,1,0.5141,1.0,1.0,0.0,0.7198,2.90
gh_001000__swerve,swerve,transfered,2,0.4326,1.0,1.0,0.0,0.6056,1.90
gh_001000__swerve,swerve,transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001000__swerve,swerve,transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001000__swerve,swerve,origin,1,0.5845,1.0,1.0,0.0,0.8184,2.90
gh_001000__swerve,swerve,origin,2,0.4968,1.0,1.0,0.0,0.6956,1.90
gh_001000__swerve,swerve,origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001000__swerve,swerve,origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001001__brake,brake,transfered,1,0.0000,0.0,0.0,0.0,1.0000,2.90
gh_001001__brake,brake,transfered,2,0.0000,0.0,0.0,0.0,1.0000,1.90
gh_001001__brake,brake,transfered,3,0.0000,0.0,0.0,0.0,1.0000,0.90
gh_001001__brake,brake,transfered,4,0.0000,0.0,0.0,0.0,1.0000,0.00
gh_001001__brake,brake,origin,1,0.0000,0.0,0.0,1.0,1.0000,2.90
gh_001001__brake,brake,origin,2,0.0000,0.0,0.0,1.0,1.0000,1.90
gh_001001__brake,brake,origin,3,0.0000,0.0,0.0,1.0,1.0000,0.90
gh_001001__brake,brake,origin,4,0.0000,0.0,0.0,1.0,1.0000,0.00
gh_001001__none,none,transfered,1,0.0000,0.0,1.0,0.0,1.0000,2.90
gh_001001__none,none,transfered,2,1.0000,1.0,1.0,1.0,1.0000,1.90
gh_001001__none,none,transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001001__none,none,transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001001__none,none,origin,1,0.0000,0.0,1.0,0.0,0.8534,2.90
gh_001001__none,none,origin,2,0.6285,1.0,1.0,0.0,0.8799,1.90
gh_001001__none,none,origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001001__none,none,origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001001__swerve,swerve,transfered,1,0.0000,0.0,1.0,0.0,1.0000,2.90
gh_001001__swerve,swerve,transfered,2,1.0000,1.0,1.0,1.0,1.0000,1.90
gh_001001__swerve,swerve,transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001001__swerve,swerve,transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001001__swerve,swerve,origin,1,0.0000,0.0,1.0,0.0,0.6921,2.90
gh_001001__swerve,swerve,origin,2,0.5378,1.0,1.0,0.0,0.7530,1.90
gh_001001__swerve,swerve,origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001001__swerve,swerve,origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001002__brake,brake,transfered,1,1.0000,1.0,1.0,1.0,1.0000,2.90
gh_001002__brake,brake,transfered,2,1.0000,1.0,1.0,1.0,1.0000,1.90
gh_001002__brake,brake,transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001002__brake,brake,transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001002__brake,brake,origin,1,1.0000,1.0,1.0,1.0,1.0000,2.90
gh_001002__brake,brake,origin,2,1.0000,1.0,1.0,1.0,1.0000,1.90
gh_001002__brake,brake,origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001002__brake,brake,origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001002__none,none,transfered,1,0.0000,0.0,0.0,0.0,0.3454,2.90
gh_001002__none,none,transfered,2,0.0000,0.0,1.0,1.0,0.5065,1.90
gh_001002__none,none,transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001002__none,none,transfered,4,1.0000,1.0,1.0,1.0,1.0000,0.00
gh_001002__none,none,origin,1,0.0000,0.0,0.0,0.0,0.4233,2.90
gh_001002__none,none,origin,2,0.0000,0.0,1.0,1.0,0.7203,1.90
gh_001002__none,none,origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001002__none,none,origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001002__swerve,swerve,transfered,1,0.2935,1.0,1.0,0.0,0.4108,2.90
gh_001002__swerve,swerve,transfered,2,0.5300,1.0,1.0,0.0,0.7419,1.90
gh_001002__swerve,swerve,transfered,3,1.0000,1.0,1.0,1.0,1.0000,0.90
gh_001002__swerve,swerve,transfered,4,1.0000,1.0,1.0,1.0,1.0000,0.00
gh_001002__swerve,swerve,origin,1,0.8452,1.0,1.0,1.0,0.7833,2.90
gh_001002__swerve,swerve,origin,2,0.7143,1.0,1.0,0.0,1.0000,1.90
gh_001002__swerve,swerve,origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001002__swerve,swerve,origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001003__brake,brake,transfered,1,1.0000,1.0,1.0,1.0,1.0000,2.90
gh_001003__brake,brake,transfered,2,1.0000,1.0,1.0,1.0,1.0000,1.90
gh_001003__brake,brake,transfered,3,1.0000,1.0,1.0,1.0,1.0000,0.90
gh_001003__brake,brake,transfered,4,1.0000,1.0,1.0,1.0,1.0000,0.00
gh_001003__brake,brake,origin,1,0.7143,1.0,1.0,0.0,1.0000,2.90
gh_001003__brake,brake,origin,2,1.0000,1.0,1.0,1.0,1.0000,1.90
gh_001003__brake,brake,origin,3,1.0000,1.0,1.0,1.0,1.0000,0.90
gh_001003__brake,brake,origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001003__none,none,transfered,1,0.0000,0.0,1.0,0.0,0.3602,2.90
gh_001003__none,none,transfered,2,0.3933,1.0,1.0,0.0,0.5506,1.90
gh_001003__none,none,transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001003__none,none,transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001003__none,none,origin,1,0.0000,0.0,1.0,0.0,0.4016,2.90
gh_001003__none,none,origin,2,0.4082,1.0,1.0,0.0,0.5715,1.90
gh_001003__none,none,origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001003__none,none,origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001003__swerve,swerve,transfered,1,0.4244,1.0,1.0,0.0,0.5942,2.90
gh_001003__swerve,swerve,transfered,2,0.4281,1.0,1.0,0.0,0.5994,1.90
gh_001003__swerve,swerve,transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001003__swerve,swerve,transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001003__swerve,swerve,origin,1,0.4172,1.0,1.0,0.0,0.5841,2.90
gh_001003__swerve,swerve,origin,2,0.4031,1.0,1.0,0.0,0.5644,1.90
gh_001003__swerve,swerve,origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001003__swerve,swerve,origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001004__brake,brake,transfered,1,0.0000,0.0,0.0,1.0,1.0000,2.90
gh_001004__brake,brake,transfered,2,1.0000,1.0,1.0,1.0,1.0000,1.90
gh_001004__brake,brake,transfered,3,1.0000,1.0,1.0,1.0,1.0000,0.90
gh_001004__brake,brake,transfered,4,0.0000,0.0,0.0,0.0,1.0000,0.00
gh_001004__brake,brake,origin,1,0.7143,1.0,1.0,0.0,1.0000,2.90
gh_001004__brake,brake,origin,2,0.0000,0.0,0.0,0.0,1.0000,1.90
gh_001004__brake,brake,origin,3,1.0000,1.0,1.0,1.0,1.0000,0.90
gh_001004__brake,brake,origin,4,0.0000,0.0,0.0,0.0,1.0000,0.00
gh_001004__none,none,transfered,1,0.0000,0.0,0.0,0.0,0.2924,2.90
gh_001004__none,none,transfered,2,0.3236,1.0,1.0,0.0,0.4531,1.90
gh_001004__none,none,transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001004__none,none,transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001004__none,none,origin,1,0.0000,0.0,0.0,0.0,0.3678,2.90
gh_001004__none,none,origin,2,0.0000,0.0,1.0,0.0,0.4019,1.90
gh_001004__none,none,origin,3,1.0000,1.0,1.0,1.0,1.0000,0.90
gh_001004__none,none,origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001004__swerve,swerve,transfered,1,0.3101,1.0,1.0,0.0,0.4341,2.90
gh_001004__swerve,swerve,transfered,2,0.0000,0.0,1.0,0.0,0.3902,1.90
gh_001004__swerve,swerve,transfered,3,0.8160,1.0,1.0,1.0,0.7424,0.90
gh_001004__swerve,swerve,transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001004__swerve,swerve,origin,1,0.3272,1.0,1.0,0.0,0.4581,2.90
gh_001004__swerve,swerve,origin,2,0.3051,1.0,1.0,0.0,0.4271,1.90
gh_001004__swerve,swerve,origin,3,0.8017,1.0,1.0,1.0,0.7224,0.90
gh_001004__swerve,swerve,origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001005__brake,brake,transfered,1,0.0000,0.0,0.0,0.0,1.0000,2.90
gh_001005__brake,brake,transfered,2,0.0000,0.0,0.0,0.0,1.0000,1.90
gh_001005__brake,brake,transfered,3,0.0000,0.0,0.0,0.0,1.0000,0.90
gh_001005__brake,brake,transfered,4,0.0000,0.0,0.0,0.0,1.0000,0.00
gh_001005__brake,brake,origin,1,0.0000,0.0,0.0,0.0,1.0000,2.90
gh_001005__brake,brake,origin,2,0.0000,0.0,0.0,1.0,1.0000,1.90
gh_001005__brake,brake,origin,3,0.0000,0.0,0.0,1.0,1.0000,0.90
gh_001005__brake,brake,origin,4,0.0000,0.0,0.0,0.0,1.0000,0.00
gh_001005__none,none,transfered,1,0.0000,0.0,1.0,0.0,0.9445,2.90
gh_001005__none,none,transfered,2,0.7143,1.0,1.0,0.0,1.0000,1.90
gh_001005__none,none,transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001005__none,none,transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001005__none,none,origin,1,0.0000,0.0,1.0,0.0,0.4349,2.90
gh_001005__none,none,origin,2,0.5135,1.0,1.0,0.0,0.7189,1.90
gh_001005__none,none,origin,3,0.6108,1.0,1.0,0.0,0.8551,0.90
gh_001005__none,none,origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001005__swerve,swerve,transfered,1,0.0000,0.0,1.0,0.0,0.8291,2.90
gh_001005__swerve,swerve,transfered,2,0.7143,1.0,1.0,0.0,1.0000,1.90
gh_001005__swerve,swerve,transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001005__swerve,swerve,transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001005__swerve,swerve,origin,1,0.0000,0.0,1.0,0.0,0.1911,2.90
gh_001005__swerve,swerve,origin,2,0.3865,1.0,1.0,0.0,0.5411,1.90
gh_001005__swerve,swerve,origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001005__swerve,swerve,origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001006__brake,brake,transfered,1,1.0000,1.0,1.0,1.0,1.0000,2.90
gh_001006__brake,brake,transfered,2,1.0000,1.0,1.0,1.0,1.0000,1.90
gh_001006__brake,brake,transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90
gh_001006__brake,brake,transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00
gh_001006__brake,brake,origin,1,1.0000,1.0,1.0,1.0,1.0000,2.90
gh_001006__brake,brake,origin,2,1.0000,1.0,1.0,1.0,1.0000,1.90
