scene,layer,js_sim_real,entropy_sim,entropy_real,img_share_sim,img_share_real
gh_001010__brake,0,0.15562,4.4118,4.5308,0.9999,0.9999
gh_001010__brake,1,0.00026,5.5446,5.5439,0.8444,0.8417
gh_001010__brake,2,0.03018,5.2777,5.2835,0.6402,0.6225
gh_001010__brake,3,0.03553,5.3829,5.3542,0.6718,0.6971
gh_001010__brake,4,0.02419,5.4430,5.3663,0.7743,0.7831
gh_001010__brake,5,0.03442,5.3561,5.4195,0.7698,0.7882
gh_001010__brake,6,0.00537,5.5131,5.4964,0.8500,0.8634
gh_001010__brake,7,0.23767,3.8624,3.7139,0.7404,0.9580
gh_001011__none,0,0.12125,4.9716,5.3025,1.0000,0.9998
gh_001011__none,1,0.00022,5.5449,5.5441,0.8416,0.8414
gh_001011__none,2,0.04088,5.4205,5.4180,0.6121,0.6344
gh_001011__none,3,0.02606,5.2374,5.3802,0.6079,0.7330
gh_001011__none,4,0.02638,5.4098,5.3555,0.7636,0.7342
gh_001011__none,5,0.05529,5.2943,5.3742,0.7802,0.7420
gh_001011__none,6,0.00583,5.5028,5.4836,0.8317,0.8285
gh_001011__none,7,0.18476,3.9483,4.6688,0.6789,0.7794
gh_001022__brake,0,0.18457,4.0982,5.0082,1.0000,1.0000
gh_001022__brake,1,0.00016,5.5447,5.5444,0.8425,0.8433
gh_001022__brake,2,0.03340,5.2959,5.4324,0.6583,0.6206
gh_001022__brake,3,0.04645,5.3552,5.3365,0.6880,0.7089
gh_001022__brake,4,0.01745,5.4069,5.4170,0.7854,0.7726
gh_001022__brake,5,0.03629,5.4073,5.3953,0.7711,0.7943
gh_001022__brake,6,0.00481,5.5001,5.4961,0.8595,0.8496
gh_001022__brake,7,0.20689,4.1130,3.6240,0.7832,0.8392
gh_001021__brake,0,0.07576,5.1630,5.1613,0.9999,0.9999
gh_001021__brake,1,0.00017,5.5446,5.5444,0.8453,0.8389
gh_001021__brake,2,0.02861,5.4196,5.3609,0.6426,0.6384
gh_001021__brake,3,0.02446,5.2737,5.2483,0.7099,0.7070
gh_001021__brake,4,0.02441,5.4265,5.4176,0.7860,0.7880
gh_001021__brake,5,0.03452,5.3808,5.4194,0.7879,0.7848
gh_001021__brake,6,0.00696,5.4991,5.4732,0.8345,0.8479
gh_001021__brake,7,0.30132,4.1185,3.0800,0.6351,0.6848
gh_001015__none,0,0.09851,4.9707,5.2662,1.0000,1.0000
gh_001015__none,1,0.00021,5.5447,5.5446,0.8372,0.8402
gh_001015__none,2,0.02095,5.4379,5.4617,0.6286,0.6085
gh_001015__none,3,0.04062,5.1446,5.3234,0.6761,0.6619
gh_001015__none,4,0.02312,5.4443,5.3783,0.7799,0.7525
gh_001015__none,5,0.03370,5.3268,5.3531,0.7725,0.7773
gh_001015__none,6,0.00542,5.5080,5.5022,0.8391,0.8394
gh_001015__none,7,0.15150,3.5884,2.9622,0.7047,0.7381
gh_001007__brake,0,0.08573,5.2089,5.2300,0.9999,1.0000
gh_001007__brake,1,0.00024,5.5445,5.5436,0.8464,0.8454
gh_001007__brake,2,0.03928,5.3715,5.4131,0.6397,0.6069
gh_001007__brake,3,0.03884,5.3267,5.2383,0.7118,0.7048
gh_001007__brake,4,0.02043,5.4238,5.4159,0.7457,0.7739
gh_001007__brake,5,0.03343,5.3388,5.3948,0.7648,0.7833
gh_001007__brake,6,0.00694,5.4599,5.4772,0.8279,0.8383
gh_001007__brake,7,0.36798,4.1053,3.1915,0.8422,0.6853
