scene,traj_gap,dpdm_t1,origin_total_t1,L6_rec,deep_share,gapxdeep,gapxL6
gh_001000__brake,0.239,0.286,0.714,,,,
gh_001000__none,0.563,0.000,0.000,,,,
gh_001000__swerve,5.972,-0.070,0.585,0.715,0.907,5.415,4.270
gh_001001__brake,1.792,0.000,0.000,0.550,0.491,0.880,0.986
gh_001001__none,15.388,0.000,0.000,0.610,0.541,8.317,9.389
gh_001001__swerve,15.409,0.000,0.000,0.194,0.770,11.863,2.992
gh_001002__brake,3.643,0.000,1.000,0.448,0.603,2.195,1.631
gh_001002__none,3.039,0.000,0.000,0.172,0.780,2.370,0.522
gh_001002__swerve,11.757,-0.552,0.845,0.902,0.577,6.778,10.605
gh_001003__brake,1.861,0.286,0.714,0.830,0.541,1.006,1.544
gh_001003__none,0.880,0.000,0.000,,,,
gh_001003__swerve,24.544,0.007,0.417,0.952,0.988,24.257,23.370
gh_001004__brake,1.026,-0.714,0.714,0.551,0.998,1.023,0.566
gh_001004__none,1.693,0.000,0.000,0.840,0.527,0.893,1.422
gh_001004__swerve,0.717,-0.017,0.327,,,,
gh_001005__brake,6.380,0.000,0.000,0.535,0.634,4.046,3.413
gh_001005__none,49.497,0.000,0.000,0.753,0.988,48.904,37.294
gh_001005__swerve,63.917,0.000,0.000,0.022,0.162,10.382,1.396
gh_001006__brake,5.182,0.000,1.000,0.861,0.914,4.736,4.462
gh_001006__none,17.243,0.000,0.000,0.000,0.923,15.922,0.000
gh_001006__swerve,34.207,0.493,0.221,0.677,1.000,34.203,23.174
gh_001007__brake,8.745,0.286,0.714,0.938,0.520,4.544,8.203
gh_001007__none,18.164,0.000,0.000,0.383,0.773,14.037,6.952
gh_001007__swerve,25.726,0.079,0.450,0.634,0.967,24.871,16.308
gh_001008__brake,1.315,0.000,1.000,0.597,0.313,0.412,0.784
gh_001008__none,0.947,0.010,0.230,,,,
gh_001008__swerve,2.206,0.007,0.509,0.116,0.404,0.891,0.256
gh_001009__brake,0.411,0.000,1.000,,,,
gh_001009__none,0.688,0.001,0.233,,,,
gh_001009__swerve,2.130,-0.050,0.514,0.000,0.000,0.000,0.000
gh_001010__brake,9.506,1.000,0.000,0.807,0.495,4.709,7.676
gh_001010__none,11.237,0.000,0.000,0.949,0.492,5.524,10.659
gh_001010__swerve,1.603,0.008,0.407,0.463,0.861,1.380,0.742
gh_001011__brake,16.706,0.000,0.000,0.803,0.516,8.616,13.417
gh_001011__none,79.865,0.673,0.000,0.808,0.759,60.607,64.570
gh_001011__swerve,17.014,-0.147,0.376,0.625,0.620,10.547,10.637
gh_001012__brake,5.800,0.000,1.000,0.057,0.426,2.469,0.332
gh_001012__none,18.522,0.000,0.000,0.192,0.882,16.328,3.548
gh_001012__swerve,8.662,0.076,0.524,0.083,0.526,4.561,0.715
gh_001013__brake,3.995,0.000,1.000,0.880,0.537,2.144,3.516
gh_001013__none,4.807,0.378,0.000,0.421,0.631,3.035,2.022
gh_001013__swerve,4.716,0.257,0.217,0.412,0.543,2.562,1.942
gh_001014__brake,0.729,0.000,1.000,,,,
gh_001014__none,18.354,-0.257,1.000,0.081,0.407,7.476,1.491
gh_001014__swerve,3.349,0.017,0.551,0.649,0.820,2.746,2.173
gh_001015__brake,2.447,0.000,0.000,0.068,0.413,1.010,0.167
gh_001015__none,19.150,0.000,0.000,0.020,0.905,17.337,0.392
gh_001015__swerve,3.320,-0.204,0.204,0.000,0.113,0.375,0.000
gh_001016__brake,1.107,1.000,0.000,0.411,0.327,0.362,0.455
gh_001016__none,0.353,0.000,0.000,,,,
gh_001016__swerve,2.574,-0.021,0.326,0.936,0.711,1.831,2.408
gh_001017__brake,27.908,0.000,0.000,0.077,0.106,2.956,2.141
gh_001017__none,23.081,0.000,0.000,0.204,0.562,12.970,4.718
gh_001017__swerve,13.062,0.142,0.204,0.916,0.521,6.811,11.962
gh_001018__brake,0.477,0.000,1.000,,,,
gh_001018__none,6.814,0.000,0.000,0.956,0.678,4.618,6.517
gh_001018__swerve,19.682,0.277,0.166,0.000,0.993,19.545,0.000
gh_001019__brake,1.917,0.286,0.714,0.628,0.438,0.839,1.205
gh_001019__none,18.605,-0.439,0.672,0.717,0.498,9.269,13.336
gh_001019__swerve,14.121,0.065,0.406,0.764,0.935,13.210,10.795
gh_001020__brake,1.677,0.000,1.000,0.425,0.363,0.608,0.713
gh_001020__none,15.187,0.000,0.000,0.143,0.496,7.527,2.175
gh_001020__swerve,6.128,0.129,0.397,0.000,0.000,0.000,0.000
gh_001021__brake,4.617,0.714,0.000,0.000,0.008,0.038,0.000
gh_001021__none,2.765,0.000,0.000,0.000,0.465,1.286,0.000
gh_001021__swerve,1.887,-0.035,0.561,0.794,0.691,1.305,1.498
gh_001022__brake,1.963,1.000,0.000,0.000,0.774,1.520,0.000
gh_001022__none,11.299,0.000,0.000,0.763,0.524,5.920,8.618
gh_001022__swerve,3.559,-0.048,0.398,0.522,0.555,1.975,1.857
gh_001023__brake,8.160,0.157,0.243,0.912,0.504,4.115,7.444
gh_001023__none,16.997,-0.097,0.684,0.293,0.895,15.220,4.988
gh_001023__swerve,4.435,-0.035,0.205,0.080,0.183,0.810,0.355
