scene,road_IoU,centerline_IoU,vehicle_IoU,veh_px_sim,veh_px_real,ghost_conf_sim,ghost_conf_real,maxconf_sim,maxconf_real
gh_001010__brake,0.699,0.318,0.112,59,15,0.206,0.007,0.273,0.360
gh_001011__none,0.423,0.091,0.445,57,51,0.270,0.219,0.283,0.575
gh_001022__brake,0.509,0.160,0.014,88,36,0.000,0.653,0.993,0.981
gh_001021__brake,0.512,0.096,0.257,130,125,0.339,0.798,0.460,0.920
gh_001015__none,0.383,0.093,0.192,157,131,0.177,0.001,0.952,0.848
gh_001007__brake,0.291,0.217,0.491,502,272,0.514,0.001,0.982,0.961
gh_001020__swerve,0.290,0.052,0.379,31,45,0.059,0.002,0.674,0.859
gh_001006__swerve,0.414,0.000,1.000,0,0,0.059,0.001,0.100,0.040
gh_001001__swerve,0.466,0.333,1.000,0,0,0.152,0.034,0.164,0.068
gh_001013__none,0.311,0.000,0.149,903,511,0.536,0.337,0.895,0.992
gh_001001__none,0.442,0.027,0.667,0,9,0.033,0.002,0.064,0.035
gh_001012__swerve,0.424,0.000,1.000,0,0,0.143,0.001,0.211,0.034
