scene,gap,L0,L1,L2,L3,L4,L5,L6,L7,ALL
gh_001010__brake,9.506,-0.001,0.000,-0.004,0.014,0.024,0.022,0.807,0.855,1.000
gh_001011__none,79.865,-0.000,0.000,0.228,-0.002,0.012,0.250,0.808,0.112,1.000
gh_001022__brake,1.963,0.008,0.000,0.047,0.043,0.242,0.093,-0.188,-0.078,1.000
gh_001021__brake,4.617,0.005,0.001,0.015,-0.010,-1.365,0.008,-0.084,0.940,1.000
gh_001015__none,19.150,0.000,-0.000,-0.050,-0.005,-0.027,0.420,0.020,0.046,1.000
gh_001007__brake,8.745,-0.001,-0.000,-0.002,0.012,0.043,-0.034,0.938,0.895,1.000
gh_001020__swerve,6.128,-0.000,0.000,-0.018,0.005,-0.170,-0.131,-0.614,0.372,1.000
gh_001006__swerve,34.207,0.000,0.000,-0.292,-0.292,-0.255,0.165,0.677,-0.424,1.000
gh_001001__swerve,15.409,-0.004,0.000,0.033,0.007,0.132,0.079,0.194,0.082,1.000
gh_001013__none,4.807,-0.001,-0.000,0.032,0.015,0.006,0.074,0.421,0.245,1.000
gh_001001__none,15.388,-0.003,-0.000,0.604,-0.027,-0.018,0.784,0.610,0.581,1.000
gh_001012__swerve,8.662,0.000,0.000,0.539,-0.005,0.026,0.501,0.083,0.009,1.000
